name,incoming,outgoing,num_incoming,num_outgoing,balance,mean_donation,mean_spend,num_unique_donors,mean_donation_per_unique_donor,url,timestamp,label
Aliancia,904101.77,-903981.8800000001,66,354,119.89000000001397,13698.511666666667,-2553.621129943503,31,29164.573225806453,https://moja.csob.sk/transparent-accounts/613b2b4d1d0a601831e71145f0698726a82867c366245a4019b178aae53e5f23,24.11.2023-01:04:16,PS
Demokrati,1285923.8399999999,-1285729.2,364,2258,194.64000000000496,3532.757802197802,-569.4106288751107,219,5871.798356164383,https://www.transparentneucty.sk/#/ucet/SK5409000000005200777415,24.11.2023-01:04:16,PS
Hlas,2388000.0,-2387084.54,10,808,915.460000000012,238800.0,-2954.3125495049508,2,1194000.0,https://www.transparentneucty.sk/#/ucet/SK0609000000005201155706,24.11.2023-01:04:16,PS
KARMA,29421.989999999998,-29425.36,22,29,-3.369999999999891,1337.3631818181818,-1014.6675862068965,15,1961.466,https://moja.csob.sk/transparent-accounts/63286cb8e407bb9674baad9e90916cb48d566b17a37f535109811b1db9f729c5,24.11.2023-01:04:16,PS
KDH,2038590.02,-2037417.6400000001,445,1448,1172.3799999999997,4581.101168539326,-1407.0563812154696,304,6705.888223684211,https://www.transparentneucty.sk/#/ucet/SK5409000000005202509350,24.11.2023-01:04:16,PS
Komunistická strana Slovenska,213879.47,-213577.38,202,123,302.08999999999884,1058.8092574257425,-1736.4014634146342,81,2640.4872839506174,https://www.transparentneucty.sk/#/ucet/SK9309000000005173959220,24.11.2023-01:04:16,PS
Kresťanská únia,1021410.0,-1018477.52,12,203,2932.4799999999996,85117.5,-5017.130640394089,2,510705.0,https://www.transparentneucty.sk/#/ucet/SK0909000000005204564329,24.11.2023-01:04:16,PS
LSNS,389167.86,-383501.06999999995,38,291,5666.789999999994,10241.25947368421,-1317.873092783505,21,18531.802857142855,https://www.transparentneucty.sk/#/ucet/SK4709000000005200763670,24.11.2023-01:04:16,PS
MF,256375.0,-256328.80000000002,58,38,46.200000000004366,4420.258620689655,-6745.494736842105,43,5962.209302325581,https://moja.csob.sk/transparent-accounts/ad7247871f62f611552a21345df81fb36b80e5ce1baaaab01f8dc25917b3b1b7,24.11.2023-01:04:16,PS
"Modri, Most-Hid",1085302.7,-1085290.95,59,382,11.75,18394.961016949153,-2841.075785340314,34,31920.66764705882,https://moja.csob.sk/transparent-accounts/d47652cb63a4b7f105908b1a03b4b6c7f83169c1c62150f2e2d562504c1be5d6,24.11.2023-01:04:16,PS
MySlovensko,59986.25,-59966.549999999996,25,95,19.699999999999292,2399.45,-631.2268421052631,12,4998.854166666667,https://transparentneucty.sk/#/ucet/SK4209000000005204179906,24.11.2023-01:04:16,PS
OĽaNO,2257454.54,-2241158.96,23,1076,16295.57999999999,98150.19739130435,-2082.8614869888474,8,282181.8175,https://www.transparentneucty.sk/#/ucet/SK2509000000005198311615,24.11.2023-01:04:16,PS
PS,2310735.87,-2318453.16,915,1296,-7717.290000000028,2525.394393442623,-1788.9299074074074,781,2958.6886939820743,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk2111000000002942147187,24.11.2023-01:04:16,PS
Pirátska strana,48883.18,-48897.68000000001,120,137,-14.499999999999432,407.3598333333333,-356.91737226277377,66,740.6542424242424,https://ib.fio.sk/ib/transparent?a=2401881936,24.11.2023-01:04:16,PS
Princíp,10022.89,-9945.310000000001,3,63,77.57999999999993,3340.963333333333,-157.86206349206353,3,3340.963333333333,https://www.transparentneucty.sk/#/ucet/SK2909000000005186956723,24.11.2023-01:04:16,PS
Republika,757074.88,-751849.3500000001,222,376,5225.530000000006,3410.2472072072073,-1999.5993351063833,150,5047.165866666666,https://ib.vub.sk/pch/transparentne-ucty?iban=SK9402000000004786046155,24.11.2023-01:04:16,PS
