name,incoming,outgoing,num_incoming,num_outgoing,balance,mean_donation,mean_spend,num_unique_donors,mean_donation_per_unique_donor,url,timestamp,label
Aliancia,904101.77,-903997.8800000001,66,357,103.89000000001397,13698.511666666667,-2532.206946778712,31,29164.573225806453,https://moja.csob.sk/transparent-accounts/613b2b4d1d0a601831e71145f0698726a82867c366245a4019b178aae53e5f23,15.12.2023-12:01:39,PS
Demokrati,1303923.84,-1303590.7,366,2265,333.14000000000493,3562.633442622951,-575.5367328918322,219,5953.990136986302,https://www.transparentneucty.sk/#/ucet/SK5409000000005200777415,15.12.2023-12:01:39,PS
Hlas,2748000.0,-2747093.9400000004,11,815,906.0599999999887,249818.18181818182,-3370.6674110429453,2,1374000.0,https://www.transparentneucty.sk/#/ucet/SK0609000000005201155706,15.12.2023-12:01:39,PS
KARMA,29421.989999999998,-29442.36,22,31,-20.36999999999989,1337.3631818181818,-949.7535483870968,15,1961.466,https://moja.csob.sk/transparent-accounts/63286cb8e407bb9674baad9e90916cb48d566b17a37f535109811b1db9f729c5,15.12.2023-12:01:39,PS
KDH,2248590.02,-2231712.95,447,1474,16877.070000000003,5030.402729306487,-1514.0522048846676,304,7396.677697368421,https://www.transparentneucty.sk/#/ucet/SK5409000000005202509350,15.12.2023-12:01:39,PS
Komunistická strana Slovenska,213879.47,-213588.68,202,126,290.7900000000032,1058.8092574257425,-1695.1482539682538,81,2640.4872839506174,https://www.transparentneucty.sk/#/ucet/SK9309000000005173959220,15.12.2023-12:01:39,PS
Kresťanská únia,1021410.0,-1018487.52,12,205,2922.4799999999705,85117.5,-4968.231804878049,2,510705.0,https://www.transparentneucty.sk/#/ucet/SK0909000000005204564329,15.12.2023-12:01:39,PS
LSNS,389167.86,-383511.07,38,293,5656.790000000001,10241.25947368421,-1308.9115017064846,21,18531.802857142855,https://www.transparentneucty.sk/#/ucet/SK4709000000005200763670,15.12.2023-12:01:39,PS
MF,256375.0,-256341.80000000002,58,40,33.200000000004366,4420.258620689655,-6408.545,43,5962.209302325581,https://moja.csob.sk/transparent-accounts/ad7247871f62f611552a21345df81fb36b80e5ce1baaaab01f8dc25917b3b1b7,15.12.2023-12:01:39,PS
"Modri, Most-Hid",1085302.7,-1085309.9500000002,59,385,-7.25,18394.961016949153,-2818.9868831168837,34,31920.66764705882,https://moja.csob.sk/transparent-accounts/d47652cb63a4b7f105908b1a03b4b6c7f83169c1c62150f2e2d562504c1be5d6,15.12.2023-12:01:39,PS
MySlovensko,59986.25,-59976.55,25,97,9.69999999999929,2399.45,-618.3149484536083,12,4998.854166666667,https://transparentneucty.sk/#/ucet/SK4209000000005204179906,15.12.2023-12:01:39,PS
OĽaNO,2257454.54,-2241254.97,23,1081,16199.57000000001,98150.19739130435,-2073.3163459759485,8,282181.8175,https://www.transparentneucty.sk/#/ucet/SK2509000000005198311615,15.12.2023-12:01:39,PS
PS,2110120.0700000003,-2108073.96,909,1204,2046.1099999999576,2321.3642134213424,-1750.8919933554816,780,2705.2821410256415,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk2111000000002942147187,15.12.2023-12:01:39,PS
Pirátska strana,48883.18,-48898.280000000006,120,138,-15.100000000001614,407.3598333333333,-354.3353623188406,66,740.6542424242424,https://ib.fio.sk/ib/transparent?a=2401881936,15.12.2023-12:01:39,PS
Princíp,10022.89,-9955.310000000001,3,65,67.57999999999993,3340.963333333333,-153.15861538461542,3,3340.963333333333,https://www.transparentneucty.sk/#/ucet/SK2909000000005186956723,15.12.2023-12:01:39,PS
Republika,798374.88,-798247.94,223,381,126.94000000000995,3580.156412556054,-2095.1389501312333,150,5322.4992,https://ib.vub.sk/pch/transparentne-ucty?iban=SK9402000000004786046155,15.12.2023-12:01:39,PS
SDKÚ,6500.7,-6021.0,4,4,479.6999999999998,1625.175,-1505.25,3,2166.9,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk8611000000002943155496,15.12.2023-12:01:39,PS
SNS,1059071.6,-1056579.6099999999,51,690,2491.989999999997,20766.109803921572,-1531.2747971014492,4,264767.9,https://www.transparentneucty.sk/#/ucet/SK1709000000005201011948,15.12.2023-12:01:39,PS
SPRAVODLIVOSŤ,9750.0,-6554.62,4,94,3195.38,2437.5,-69.73,4,2437.5,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk9111000000002945151763,15.12.2023-12:01:39,PS
SRDCE,68298.04000000001,-67527.09,17,99,770.9499999999971,4017.531764705883,-682.0918181818181,11,6208.912727272728,https://www.transparentneucty.sk/#/ucet/SK1709000000005204184430,15.12.2023-12:01:39,PS
SaS,2089818.07,-1994774.0499999998,41,905,95044.02000000002,50971.17243902439,-2204.170220994475,7,298545.4385714286,https://www.transparentneucty.sk/#/ucet/SK4609000000005199496092,15.12.2023-12:01:39,PS
Slovenské Hnutie Obrody,6263.0,-6244.619999999999,96,38,18.379999999999995,65.23958333333333,-164.33210526315787,54,115.98148148148148,https://ib.fio.sk/ib/transparent?a=2502606052,15.12.2023-12:01:39,PS
Sme Rodina,1880762.1099999999,-1880748.06,132,1426,14.049999999988358,14248.197803030302,-1318.8976577840112,79,23807.115316455696,https://www.transparentneucty.sk/#/ucet/SK4409000000005200310540,15.12.2023-12:01:39,PS
Smer,2720253.0,-2707979.9999999995,19,707,12272.99999999997,143171.2105263158,-3830.2404526166897,1,2720253.0,https://www.transparentneucty.sk/#/ucet/SK1809000000005200055607,15.12.2023-12:01:39,PS
Spoločne občania Slovenska,38735.67,-38705.81,33,50,29.859999999998763,1173.8081818181818,-774.1161999999999,13,2979.666923076923,https://www.transparentneucty.sk/#/ucet/SK1009000000005203740781,15.12.2023-12:01:39,PS
Vlastenecký blok,25777.8,-23885.92,54,35,1891.8799999999992,477.3666666666667,-682.4548571428571,39,660.9692307692308,https://www.transparentneucty.sk/#/ucet/SK3309000000005204130889,15.12.2023-12:01:39,PS
Za Ľudí,407275.0,-404709.94000000006,13,254,2565.0599999999913,31328.846153846152,-1593.3462204724412,6,67879.16666666667,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk1111000000002945150584,15.12.2023-12:01:39,PS
