index,name,num_incoming,num_outgoing,sum_incoming,sum_outgoing,balance,mean_donation,mean_spend,num_unique_donors,mean_donation_per_unique_donor,label,timestamp,url,typ_volieb,samosprava,stranicky_ucet,strana,label_right,vysledok
0,Matúš Čupka,94.0,105.0,29744.86,-29663.120000000003,81.73999999999796,316.43468085106383,-282.5059047619048,87.0,341.8949425287356,BA,1667399664.438834,https://ib.fio.sk/ib/transparent?a=2102105267,miestne,Bratislava - Nové Mesto,,"Team Bratislava, Progresívne Slovensko, SaS",BA,zvolený
1,Michal Drotován,50.0,12.0,9819.220000000001,-9204.150000000001,615.0699999999997,196.38440000000003,-767.0125000000002,32.0,306.85062500000004,BA,1667399664.448027,https://ib.fio.sk/ib/transparent?a=2002202561,miestne,Bratislava - Rača,,nezávislý kandidát,BA,zvolený
2,Šimon Gabura,12.0,20.0,1893.0,-1835.83,57.17000000000007,157.75,-91.7915,1.0,1893.0,BA,1667399664.457831,https://ib.vub.sk/pch/transparentne-ucty?iban=SK8002000000004633324951,miestne,Svätý Jur,,KDH,BA,zvolený
3,Štefan Gašparovič,3.0,18.0,4600.0,-3669.92,930.0799999999999,1533.3333333333333,-203.88444444444445,1.0,4600.0,BA,1667399664.4643111,https://www.transparentneucty.sk/#/ucet/SK8009000000005193340636,miestne,Slovenský Grob,,Hlas - sociálna demokracia,BA,zvolený
4,Martin Chren,8.0,23.0,72100.0,-56888.39,15211.61,9012.5,-2473.4082608695653,5.0,14420.0,BA,1667399664.470149,https://www.transparentneucty.sk/#/ucet/SK5909000000005188209617,miestne,Bratislava - Ružinov,,TÍM RUŽINOV,BA,zvolený
5,Dárius Krajčír,8.0,10.0,4612.0,-4412.32,199.6800000000003,576.5,-441.23199999999997,4.0,1153.0,BA,1667399664.478092,https://www.transparentneucty.sk/#/ucet/SK5609000000005194603426,miestne,Bratislava - Devínska Nová Ves,,SOM Slovensko,BA,zvolený
6,Roman Lamoš,20.0,43.0,16150.0,-14940.09,1209.9099999999999,807.5,-347.4439534883721,1.0,16150.0,BA,1667399664.4906409,https://www.transparentneucty.sk/#/ucet/SK3509000000005191445872,miestne,Bratislava - Podunajské Biskupice,,"Team Bratislava, Progresívne Slovensko, SaS",BA,zvolený
7,Vladimír Letenay,2.0,14.0,2200.0,-2405.8,-205.80000000000018,1100.0,-171.84285714285716,1.0,2200.0,BA,1667399664.497052,https://ib.fio.sk/ib/transparent?a=2101782450,miestne,Ivanka pri Dunaji,,nezávislý kandidát,BA,zvolený
8,Roman Mács,16.0,68.0,14560.0,-12360.390000000001,2199.6099999999988,910.0,-181.7704411764706,9.0,1617.7777777777778,BA,1667399664.503901,https://www.transparentneucty.sk/#/ucet/SK3609000000005187489418,miestne,Pezinok,,nezávislý kandidát,BA,zvolený
9,Peter Novisedlák,4.0,16.0,12000.0,-11960.41,39.590000000000146,3000.0,-747.525625,2.0,6000.0,BA,1667399664.509376,https://www.transparentneucty.sk/#/ucet/SK1109000000005193515993,miestne,Stupava,,SOM Slovensko,BA,zvolený
10,Juraj Petrakovič,23.0,14.0,2623.0,-2520.1400000000003,102.85999999999967,114.04347826086956,-180.01000000000002,12.0,218.58333333333334,BA,1667399664.5219252,https://ib.fio.sk/ib/transparent?a=2602158509,miestne,Modra,,nezávislý kandidát,BA,zvolený
11,Igor Polakovič,16.0,12.0,4823.3,-4472.24,351.0600000000004,301.45625,-372.68666666666667,8.0,602.9125,BA,1667399664.528607,https://ib.fio.sk/ib/transparent?a=2502271731,miestne,Bratislava - Lamač,,"Team Bratislava, Progresívne Slovensko, SaS",BA,zvolený
12,Juraj Říha,3.0,10.0,12400.0,-4915.95,7484.05,4133.333333333333,-491.59499999999997,2.0,6200.0,BA,1667399664.53398,https://www.transparentneucty.sk/#/ucet/SK8009000000005193706423,miestne,Malacky,,nezávislý kandidát,BA,zvolený
13,Matej Vagač,124.0,87.0,59159.0,-54811.74,4347.260000000002,477.08870967741933,-630.02,81.0,730.358024691358,BA,1667399664.5405319,https://ib.fio.sk/ib/transparent?a=2402110543,miestne,Bratislava - Staré Mesto,,"Team Bratislava, Progresívne Slovensko",BA,zvolený
14,Vladimíra Vydrová,28.0,42.0,7850.0,-7316.65,533.3500000000004,280.35714285714283,-174.20595238095237,22.0,356.8181818181818,BA,1667399664.5504682,https://www.transparentneucty.sk/#/ucet/SK1709000000005192842511,miestne,Chorvátsky Grob,,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,BA,zvolený
15,Jozef Bednár,9.0,24.0,4044.0,-3319.5200000000004,724.4799999999996,449.3333333333333,-138.31333333333336,6.0,674.0,TT,1667399664.558275,https://www.transparentneucty.sk/#/ucet/SK5809000000005194220919,miestne,Šamorín,,nezávislý kandidát,TT,zvolený
16,Peter Bročka,74.0,92.0,36115.0,-35943.98999999999,171.0100000000093,488.0405405405405,-390.6955434782608,33.0,1094.3939393939395,TT,1667399664.564684,https://www.transparentneucty.sk/#/ucet/SK5009000000005143893777,miestne,Trnava,,nezávislý kandidát,TT,zvolený
17,Zdenko Čambal,10.0,60.0,122100.0,-120247.43,1852.570000000007,12210.0,-2004.1238333333333,2.0,61050.0,TT,1667399664.570121,https://www.transparentneucty.sk/#/ucet/SK6709000000005193137849,miestne,Holíč,,"SNS, SMER - SD, Hlas - sociálna demokracia, SME RODINA",TT,zvolený
18,Zdenko Čambal,10.0,60.0,122100.0,-120247.43,1852.570000000007,12210.0,-2004.1238333333333,2.0,61050.0,TT,1667399664.570121,https://www.transparentneucty.sk/#/ucet/SK6709000000005193137849,župné,Trnavský samosprávny kraj,,"SNS, SMER - SD, Hlas - sociálna demokracia, SME RODINA",TT,zvolený
19,Zoltán Hájos,2.0,17.0,6000.0,-4951.6,1048.3999999999996,3000.0,-291.27058823529416,1.0,6000.0,TT,1667399664.574933,https://www.transparentneucty.sk/#/ucet/SK7309000000005193276742,miestne,Dunajská Streda,,SZÖVETSÉG - ALIANCIA,TT,zvolený
